country,city,temperature,temperature_anomaly,period
AO,Damba,21.89,0.83,2010s
AO,Dombe Grande,24.28,0.98,2010s
AO,Dondo,25.85,0.75,2010s
AO,Dundo,24.95,1.19,2010s
AO,Ebo,20.2,0.67,2010s
AO,Ecunna,18.64,0.91,2010s
AO,Gabela,21.25,0.85,2010s
AO,Gama,25.56,0.95,2010s
AO,Ganda,20.91,0.68,2010s
AO,Golungo Alto,23.35,0.64,2010s
AO,Huambo,19.33,0.89,2010s
AO,Jamba,23.81,0.81,2010s
AO,Londuimbali,19.31,0.84,2010s
AO,Longonjo,20.01,0.87,2010s
AO,Luau,23.07,0.89,2010s
AO,Lubalo,22.65,0.93,2010s
AO,Lubango,17.97,0.85,2010s
AO,Lucala,23.17,0.67,2010s
AO,Lucapa,24.24,1.04,2010s
AO,Luena,21.18,0.78,2010s
AO,Lumbala,22.64,0.88,2010s
AO,Lumeji,22.37,0.84,2010s
AO,Luquembo,22.96,0.9,2010s
AO,Léua,21.86,0.84,2010s
AO,Malanje,22.36,0.79,2010s
AO,Maquela do Zombo,22.83,0.79,2010s
AO,Matala,22.68,1.25,2010s
AO,Mavinga,22.53,1.06,2010s
AO,Mbanza Kongo,24.08,0.7,2010s
AO,Menongue,21.24,1.12,2010s
AO,Muconda,22.69,0.86,2010s
AO,Mungo,19.9,0.85,2010s
AO,Mussende,22.56,0.81,2010s
AO,N'dalatando,23.15,0.63,2010s
AO,Negage,21.02,0.8,2010s
AO,Nharêa,19.77,0.81,2010s
AO,Nzagi,21.71,0.73,2010s
AO,Ondjiva,24.32,1.64,2010s
AO,Puri,21.73,0.78,2010s
AO,Quibala,20.48,0.71,2010s
AO,Quibaxe,22.94,0.66,2010s
AO,Quilenda,22.76,0.88,2010s
AO,Quipungo,22.44,1.22,2010s
AO,Quissecula,20.95,0.73,2010s
AO,Santa Clara,21.91,0.78,2010s
AO,Sanza Pombo,23.54,0.89,2010s
AO,Saurimo,23.15,0.88,2010s
AO,Songo,23.16,0.69,2010s
AO,Tombôco,24.02,0.72,2010s
AO,Uacu Cungo,20.81,0.7,2010s
AO,Ucu Seles,21.08,0.82,2010s
AO,Ucuma,18.53,0.85,2010s
AO,Uíge,22.31,0.79,2010s
AO,Virei,25.42,0.67,2010s
AO,Xangongo,24.48,1.59,2010s
BF,Absouya,29.35,1.25,2010s
BF,Aribinda,29.62,1.28,2010s
BF,Bama,28.29,1.2,2010s
BF,Banfora,28.01,1.27,2010s
BF,Barani,28.97,1.2,2010s
BF,Barogo,29.25,1.26,2010s
BF,Batié,28.23,1.11,2010s
BF,Bilanga,29.2,1.14,2010s
BF,Bingo,28.8,1.24,2010s
BF,Bittou,29.22,1.14,2010s
BF,Bobo-Dioulasso,27.88,1.32,2010s
BF,Bogandé,29.21,1.16,2010s
BF,Boromo,28.73,1.07,2010s
BF,Boulsa,29.15,1.22,2010s
BF,Boundoré,29.64,1.15,2010s
BF,Bourzanga,28.72,1.17,2010s
BF,Boussouma,29.16,1.16,2010s
BF,Boussé,29.0,1.23,2010s
BF,Béguédo,29.16,1.25,2010s
BF,Cinkansé,28.78,1.13,2010s
BF,Dano,28.76,1.25,2010s
BF,Dapélogo,29.04,1.22,2010s
BF,Diapaga,29.31,1.08,2010s
BF,Diébougou,28.75,1.25,2010s
BF,Djibo,29.48,1.29,2010s
BF,Dori,29.73,1.26,2010s
BF,Dédougou,29.02,1.16,2010s
BF,Déou,29.58,1.31,2010s
BF,Fada N'gourma,28.97,1.09,2010s
BF,Fara Department,28.82,1.09,2010s
BF,Gaongo,28.9,1.22,2010s
BF,Gaoua,28.2,1.21,2010s
BF,Garango,29.08,1.26,2010s
BF,Gayéri,29.16,1.03,2010s
BF,Gomboussougou,28.91,1.27,2010s
BF,Gorom-Gorom,29.84,1.27,2010s
BF,Goulouré,28.72,1.25,2010s
BF,Gourcy,28.76,1.14,2010s
BF,Houndé,28.54,1.21,2010s
BF,Karankasso,27.79,1.32,2010s
BF,Kaya,28.97,1.1,2010s
BF,Kayao,28.66,1.17,2010s
BF,Kindi,29.01,1.25,2010s
BF,Kokologo,28.71,1.25,2010s
BF,Kombissiri,28.8,1.22,2010s
BF,Komki-Ipala,28.75,1.24,2010s
BF,Kompienga,29.18,0.99,2010s
BF,Komsilga,28.84,1.23,2010s
BF,Kongoussi,29.01,1.16,2010s
BF,Korsimoro,29.23,1.19,2010s
BF,Koubri,29.06,1.24,2010s
BF,Koudougou,28.92,1.2,2010s
BF,Kouka,28.94,1.17,2010s
BF,Koupéla,29.04,1.25,2010s
BF,Laye,28.86,1.22,2010s
BF,Loumbila,29.1,1.23,2010s
BF,Léo,28.28,1.22,2010s
BF,Manga,28.85,1.25,2010s
BF,Mani,29.42,1.12,2010s
BF,Mané,29.08,1.15,2010s
BF,Mogtédo,29.19,1.25,2010s
BF,Nagréongo,29.27,1.27,2010s
BF,Namponkoré,29.3,1.06,2010s
BF,Natiaboani,29.26,1.09,2010s
BF,Niangoloko,27.92,1.27,2010s
BF,Nioko I,28.97,1.21,2010s
BF,Niou,29.0,1.23,2010s
BF,Nouna,29.0,1.12,2010s
BF,Orodara,27.06,1.26,2010s
BF,Ouagadougou,28.91,1.21,2010s
BF,Ouahigouya,28.8,1.13,2010s
BF,Ouargaye,28.97,1.15,2010s
BF,Ourgou-Manéga,29.04,1.23,2010s
BF,Oursi,29.65,1.3,2010s
BF,Pa,28.96,1.12,2010s
BF,Pabré,28.91,1.21,2010s
BF,Pama,29.27,1.01,2010s
BF,Pissila,28.79,1.05,2010s
BF,Pitmoaga,28.74,1.25,2010s
BF,Pouytenga,28.95,1.23,2010s
BF,Pô,28.66,1.2,2010s
BF,Réo,28.85,1.18,2010s
BF,Saaba,28.99,1.22,2010s
BF,Sabou,28.77,1.18,2010s
BF,Saonré,28.87,1.22,2010s
BF,Saponé,28.66,1.18,2010s
BF,Sapouy,28.35,1.15,2010s
BF,Sebba,29.47,1.1,2010s
BF,Siglé,28.94,1.23,2010s
BF,Sindou,27.68,1.29,2010s
BF,Solenzo,28.6,1.12,2010s
BF,Sourgoubila,28.85,1.23,2010s
BF,Tanghin-Dassouri,28.76,1.23,2010s
BF,Tenkodogo,29.06,1.25,2010s
BF,Tin-Akoff,30.22,1.28,2010s
BF,Tita,28.78,1.13,2010s
BF,Titao,28.94,1.18,2010s
BF,Toma,28.75,1.07,2010s
BF,Tougan,29.17,1.15,2010s
BF,Toéghin,28.98,1.23,2010s
BF,Tô,28.44,1.13,2010s
BF,Yako,28.69,1.15,2010s
BF,Yalgo,28.93,1.13,2010s
BF,Zabré,29.06,1.2,2010s
BF,Zinguédéssé,28.89,1.23,2010s
BF,Ziniaré,29.16,1.25,2010s
BF,Zitenga,29.07,1.21,2010s
BF,Zorgo,29.11,1.27,2010s
BI,Bubanza,21.79,0.95,2010s
BI,Buganda,22.95,1.03,2010s
BI,Bujumbura,22.7,0.87,2010s
BI,Bururi,19.37,0.81,2010s
BI,Bwambarangwe,21.05,0.99,2010s
BI,Cankuzo,19.88,0.85,2010s
BI,Cibitoke,22.79,0.74,2010s
BI,Gatumba,24.61,0.93,2010s
BI,Gitega,19.52,0.98,2010s
BI,Giteranyi,21.08,0.96,2010s
BI,Isale,18.93,0.83,2010s
BI,Kanyosha,20.77,0.84,2010s
BI,Karuzi,19.97,0.86,2010s
BI,Kayanza,18.93,0.9,2010s
BI,Kayogoro,20.61,0.79,2010s
BI,Kirundo,21.0,1.01,2010s
BI,Mabanda,20.86,0.81,2010s
BI,Makamba,19.88,0.8,2010s
BI,Matana,18.75,0.74,2010s
BI,Mugongomanga,17.13,0.79,2010s
BI,Muramvya,18.35,0.81,2010s
BI,Muyinga,20.55,0.96,2010s
BI,Muzinda,21.7,0.92,2010s
BI,Mwaro,18.81,0.78,2010s
BI,Ngozi,19.81,1.0,2010s
BI,Rumonge,23.39,0.82,2010s
BI,Rutana,20.25,0.77,2010s
BI,Ruyigi,20.31,0.84,2010s
BJ,Abomey,27.25,1.24,2010s
BJ,Abomey-Calavi,26.97,0.83,2010s
BJ,Adjaouèrè,27.24,1.19,2010s
BJ,Adjarra,26.84,0.91,2010s
BJ,Adjohon,27.04,1.02,2010s
BJ,Allada,26.81,1.05,2010s
BJ,Angara-Débou,28.87,1.11,2010s
BJ,Aplahoué,26.95,1.2,2010s
BJ,Athiémé,27.17,1.08,2010s
BJ,Avakpa,26.98,1.08,2010s
BJ,Avrankou,26.82,0.93,2010s
BJ,Banigbé,26.74,0.99,2010s
BJ,Banikoara,28.79,1.16,2010s
BJ,Banté,27.52,1.23,2010s
BJ,Bassila,27.1,1.27,2010s
BJ,Bembèrèkè,27.64,1.24,2010s
BJ,Bohicon,27.29,1.24,2010s
BJ,Boukoumbé,27.55,1.17,2010s
BJ,Bétérou,27.53,1.23,2010s
BJ,Cobly,28.44,1.11,2010s
BJ,Comé,27.15,0.94,2010s
BJ,Cové,27.78,1.26,2010s
BJ,Dassa-Zoumè,27.6,1.2,2010s
BJ,Djakotomé,26.92,1.19,2010s
BJ,Djidja,27.35,1.21,2010s
BJ,Djougou,26.78,1.19,2010s
BJ,Dogbo,26.99,1.16,2010s
BJ,Glazoué,27.73,1.21,2010s
BJ,Gogounou,28.49,1.2,2010s
BJ,Goumori,28.69,1.17,2010s
BJ,Guilmaro,27.07,1.18,2010s
BJ,Hinvi,26.82,1.11,2010s
BJ,Houinvigue,27.18,1.13,2010s
BJ,Hévié,27.0,0.83,2010s
BJ,Kalalé,28.26,1.26,2010s
BJ,Kandi,28.79,1.12,2010s
BJ,Klouékanmè,26.96,1.21,2010s
BJ,Kopargo,26.73,1.22,2010s
BJ,Kouandé,27.09,0.89,2010s
BJ,Kpomassè,27.08,0.96,2010s
BJ,Kpozoun,27.61,1.25,2010s
BJ,Kérou,28.22,1.24,2010s
BJ,Kétou,27.39,1.25,2010s
BJ,Lalo,27.04,1.21,2010s
BJ,Lokossa,27.15,1.11,2010s
BJ,Malanville,29.36,1.08,2010s
BJ,Matéri,28.84,1.1,2010s
BJ,Missérété,26.86,0.92,2010s
BJ,Natitingou,26.43,1.16,2010s
BJ,Ndali,27.36,1.25,2010s
BJ,Nikki,27.41,1.19,2010s
BJ,Ouaké,26.91,1.22,2010s
BJ,Ouessé,27.79,1.26,2010s
BJ,Ouinhi,27.7,1.24,2010s
BJ,Parakou,27.23,1.25,2010s
BJ,Pobé,27.08,1.17,2010s
BJ,Porto-Novo,26.91,0.88,2010s
BJ,Pèrèrè,27.19,1.24,2010s
BJ,Péhonko,27.23,1.17,2010s
BJ,Sakété,26.74,1.03,2010s
BJ,Savalou,27.72,1.2,2010s
BJ,Savé,27.71,1.21,2010s
BJ,Sinendé,27.65,1.17,2010s
BJ,So-Ava,26.93,0.86,2010s
BJ,Sé,26.95,1.12,2010s
BJ,Ségbana,28.94,1.15,2010s
BJ,Tanguiéta,27.6,1.13,2010s
BJ,Tchaourou,27.31,1.22,2010s
BJ,Tori-Bossito,26.93,0.93,2010s
BJ,Toukountouna,26.82,1.13,2010s
BJ,Toviklin,26.96,1.2,2010s
BJ,Zagnanado,27.8,1.27,2010s
BJ,Zinvié,26.93,0.96,2010s
BJ,Zé,26.97,1.1,2010s
BW,Bobonong,22.75,0.6,2010s
BW,Bokaa,21.62,1.0,2010s
BW,Borolong,21.51,0.67,2010s
BW,Botlhapatlou,20.95,0.88,2010s
BW,Chadibe,21.49,0.67,2010s
BW,Charles Hill,22.04,1.02,2010s
BW,Dekar,22.39,0.78,2010s
BW,Dukwe,23.15,0.73,2010s
BW,Dutlwe,21.45,0.88,2010s
BW,Francistown,21.63,0.69,2010s
BW,Gabane,21.14,1.07,2010s
BW,Gaborone,21.4,1.05,2010s
BW,Gaphatshwe,21.42,1.03,2010s
BW,Ghanzi,22.39,0.81,2010s
BW,Gobojango,22.72,0.65,2010s
BW,Good Hope,19.66,1.2,2010s
BW,Gumare,23.66,0.75,2010s
BW,Gweta,23.24,0.67,2010s
BW,Hukuntsi,21.66,0.94,2010s
BW,Janeng,19.52,1.24,2010s
BW,Jwaneng,20.69,0.96,2010s
BW,Kalamare,20.69,0.71,2010s
BW,Kang,21.59,0.83,2010s
BW,Kanye,20.02,1.12,2010s
BW,Kasane,23.47,0.76,2010s
BW,Kgomokasitwa,20.36,1.2,2010s
BW,Khakhea,21.84,0.94,2010s
BW,Khudumelapye,21.36,0.83,2010s
BW,Kopong,21.44,1.01,2010s
BW,Kumakwane,21.02,1.06,2010s
BW,Kurametsi,22.29,0.74,2010s
BW,Lehututu,21.68,0.93,2010s
BW,Lenchwe Le Tau,21.27,0.99,2010s
BW,Lentsweletau,21.45,0.94,2010s
BW,Lerala,22.0,0.67,2010s
BW,Letlhakane,22.42,0.63,2010s
BW,Letlhakeng,21.09,0.89,2010s
BW,Letsheng,21.39,0.64,2010s
BW,Lobatse,19.97,1.28,2010s
BW,Lokwabe,21.86,0.94,2010s
BW,Lorolwana,21.01,1.01,2010s
BW,Lotlhakane,20.18,1.16,2010s
BW,Maapi,21.47,0.63,2010s
BW,Mabuli,20.63,1.09,2010s
BW,Machaneng,22.31,0.71,2010s
BW,Magothla,22.38,0.73,2010s
BW,Mahalapye,21.67,0.72,2010s
BW,Maitengwe,22.38,0.78,2010s
BW,Makaleng,21.46,0.73,2010s
BW,Makoba,22.43,0.73,2010s
BW,Makobeng,22.05,0.68,2010s
BW,Makwata,22.2,0.72,2010s
BW,Manyana,20.43,1.1,2010s
BW,Masunga,20.95,0.78,2010s
BW,Mathakola,21.34,0.64,2010s
BW,Mathambgwane,21.45,0.68,2010s
BW,Mathangwane,21.46,0.68,2010s
BW,Mathathane,22.97,0.63,2010s
BW,Maun,23.54,0.65,2010s
BW,Maunatlala,21.49,0.62,2010s
BW,Metsemotlhaba,21.37,1.02,2010s
BW,Mmadinare,21.94,0.6,2010s
BW,Mmankgodi,20.65,1.09,2010s
BW,Mmathete,19.98,1.14,2010s
BW,Mmathubudukwane,21.89,1.03,2010s
BW,Mmopone,21.48,1.03,2010s
BW,Mochudi,21.74,0.98,2010s
BW,Mogapi,21.69,0.62,2010s
BW,Mogapinyana,21.58,0.6,2010s
BW,Mogoditshane,21.42,1.04,2010s
BW,Moijabana,20.69,0.66,2010s
BW,Molepolole,20.75,0.98,2010s
BW,Mookane,21.92,0.75,2010s
BW,Mopipi,23.15,0.62,2010s
BW,Morwa,21.67,0.99,2010s
BW,Mosetse,22.61,0.74,2010s
BW,Mosopa,20.58,1.06,2010s
BW,Nata,23.55,0.7,2010s
BW,Nkoyaphiri,21.35,1.05,2010s
BW,Nokaneng,23.71,0.74,2010s
BW,Oodi,21.64,1.02,2010s
BW,Orapa,22.71,0.63,2010s
BW,Otse,20.73,1.2,2010s
BW,Palapye,21.47,0.66,2010s
BW,Pandamatenga,22.65,0.79,2010s
BW,Pilane,21.67,0.98,2010s
BW,Pilikwe,21.5,0.64,2010s
BW,Pitseng,20.25,1.03,2010s
BW,Ramokgonami,21.82,0.65,2010s
BW,Ramotswa,21.07,1.16,2010s
BW,Ramotswa Station/Taung,20.58,1.18,2010s
BW,Rasesa,21.67,0.97,2010s
BW,Ratholo,21.49,0.64,2010s
BW,Sebina,21.49,0.72,2010s
BW,Sefhare,21.93,0.71,2010s
BW,Sefophe,21.94,0.6,2010s
BW,Sehithwa,23.63,0.7,2010s
BW,Selebi-Phikwe,21.92,0.6,2010s
BW,Serowe,20.66,0.67,2010s
BW,Sese,20.53,0.98,2010s
BW,Shakawe,23.62,0.89,2010s
BW,Shashe Mooke,21.57,0.67,2010s
BW,Shoshong,21.15,0.7,2010s
BW,Sowa,23.27,0.68,2010s
BW,Sua,23.5,0.72,2010s
BW,Tamasane,21.6,0.6,2010s
BW,Tati Siding,21.67,0.67,2010s
BW,Thamaga,20.88,1.04,2010s
BW,Tlokweng,21.36,1.05,2010s
BW,Tonota,21.61,0.63,2010s
BW,Tsau,23.73,0.75,2010s
BW,Tsetsebjwe,22.34,0.61,2010s
BW,Tshabong,22.14,1.1,2010s
BW,Tutume,22.07,0.76,2010s
BW,Werda,21.75,1.02,2010s
CD,Aketi,26.45,2.07,2010s
CD,Aru,22.72,1.41,2010s
CD,Babamba,23.89,1.32,2010s
CD,Bakwa,26.01,1.75,2010s
CD,Bandundu Province,27.06,1.47,2010s
CD,Basankusu,26.09,1.35,2010s
CD,Basoko,26.78,1.98,2010s
CD,Baudhuinville,22.04,0.68,2010s
CD,Beni,20.72,1.04,2010s
CD,Binga,26.11,1.43,2010s
CD,Boende,26.26,1.58,2010s
CD,Bolobo,26.78,1.23,2010s
CD,Boma,25.13,0.71,2010s
CD,Bondo,26.19,1.98,2010s
CD,Bongandanga,26.25,1.63,2010s
CD,Bosobolo,27.09,1.66,2010s
CD,Bukama,26.0,1.01,2010s
CD,Bukavu,19.26,0.76,2010s
CD,Bulungu,26.49,1.47,2010s
CD,Bumba,26.85,1.84,2010s
CD,Bunia,21.65,1.25,2010s
CD,Businga,26.47,1.65,2010s
CD,Buta,26.32,2.1,2010s
CD,Butembo,18.1,0.93,2010s
CD,Demba,25.61,1.75,2010s
CD,Dibaya-Lubwe,26.25,1.63,2010s
CD,Djugu,19.54,0.88,2010s
CD,Dungu,26.44,1.4,2010s
CD,Fungurume,21.65,0.65,2010s
CD,Gandajika,25.23,1.21,2010s
CD,Gbadolite,27.2,1.74,2010s
CD,Gemena,26.18,1.48,2010s
CD,Goma,19.84,0.79,2010s
CD,Hyosha,22.19,1.15,2010s
CD,Idiofa,25.43,1.51,2010s
CD,Ilebo,26.26,1.8,2010s
CD,Inkisi,24.34,0.77,2010s
CD,Inongo,27.41,1.26,2010s
CD,Isamba,26.07,1.89,2010s
CD,Isiro,24.13,1.47,2010s
CD,Kabalo,26.34,1.25,2010s
CD,Kabare,18.43,0.74,2010s
CD,Kabeya-Kamwanga,25.87,1.53,2010s
CD,Kabinda,24.67,1.31,2010s
CD,Kalemie,24.35,0.86,2010s
CD,Kalima,24.65,1.08,2010s
CD,Kambove,20.91,0.52,2010s
CD,Kamina,23.46,0.87,2010s
CD,Kampene,24.49,1.36,2010s
CD,Kananga,25.42,1.66,2010s
CD,Kanyama,24.16,1.11,2010s
CD,Kanyobagonga,20.94,0.88,2010s
CD,Kasangulu,25.26,0.87,2010s
CD,Kasongo,25.57,1.47,2010s
CD,Kasongo-Lunda,26.02,1.45,2010s
CD,Katanda,23.82,1.2,2010s
CD,Katwa,18.21,1.01,2010s
CD,Kayna,19.96,0.71,2010s
CD,Kenge,24.75,0.69,2010s
CD,Kikwit,26.12,1.61,2010s
CD,Kimpese,24.66,0.71,2010s
CD,Kindu,25.72,1.61,2010s
CD,Kinshasa,25.79,0.87,2010s
CD,Kipamba,26.32,1.04,2010s
CD,Kipushi,20.98,0.48,2010s
CD,Kirumba,20.91,1.05,2010s
CD,Kisangani,25.9,1.66,2010s
CD,Kituku,22.84,0.7,2010s
CD,Kolwezi,20.95,0.72,2010s
CD,Kongolo,25.91,1.36,2010s
CD,Kutu,26.57,1.29,2010s
CD,Libenge,26.62,1.33,2010s
CD,Likasi,21.26,0.52,2010s
CD,Lisala,26.77,1.74,2010s
CD,Lodja,26.02,2.06,2010s
CD,Lubao,25.85,1.46,2010s
CD,Lubero,16.68,0.79,2010s
CD,Lubumbashi,21.35,0.49,2010s
CD,Luebo,26.07,1.93,2010s
CD,Lukolela,26.53,1.26,2010s
CD,Lukula,25.55,1.75,2010s
CD,Luputa,24.6,1.17,2010s
CD,Lusambo,26.08,1.9,2010s
CD,Malemba,22.94,0.79,2010s
CD,Malemba-Nkulu,25.86,1.02,2010s
CD,Mangai,26.32,1.55,2010s
CD,Mangbwalu,21.45,1.33,2010s
CD,Mangina,22.11,1.13,2010s
CD,Manono,26.06,1.1,2010s
CD,Masi-Manimba,26.24,1.66,2010s
CD,Masina,25.71,0.87,2010s
CD,Matadi,24.72,0.68,2010s
CD,Mbandaka,26.37,1.24,2010s
CD,Mbanza-Ngungu,23.95,0.75,2010s
CD,Mbuji-Mayi,25.55,1.41,2010s
CD,Miabi,25.29,1.35,2010s
CD,Mokambo,21.37,0.51,2010s
CD,Mulongo,26.04,1.03,2010s
CD,Mushie,26.84,1.25,2010s
CD,Mweka,25.55,1.75,2010s
CD,Mwene,23.91,0.93,2010s
CD,Mwene-Ditu,24.31,1.18,2010s
CD,Nioki,26.6,1.28,2010s
CD,Nyunzu,24.99,1.07,2010s
CD,Pweto,23.17,0.75,2010s
CD,Rutshuru,20.78,0.91,2010s
CD,Sake,18.5,0.75,2010s
CD,Tshela,24.15,0.85,2010s
CD,Tshikapa,25.95,1.39,2010s
CD,Tshilenge,22.58,0.84,2010s
CD,Uvira,21.59,0.83,2010s
CD,Wamba,23.59,1.37,2010s
CD,Watsa,23.98,1.49,2010s
CD,Yangambi,26.25,1.79,2010s
CD,Zongo,27.16,1.45,2010s
CF,Alindao,27.33,1.71,2010s
CF,Baboua,24.39,1.11,2010s
CF,Bambari,27.57,1.57,2010s
CF,Bangassou,26.38,1.84,2010s
CF,Bangui,27.22,1.44,2010s
CF,Baoro,25.16,1.11,2010s
CF,Batangafo,28.44,1.1,2010s
CF,Bayanga,25.65,1.44,2010s
CF,Berbérati,25.39,1.28,2010s
CF,Bimbo,27.15,1.44,2010s
CF,Birao,28.59,1.45,2010s
CF,Boali,27.48,1.44,2010s
CF,Bocaranga,24.6,0.92,2010s
CF,Boda,26.4,1.43,2010s
CF,Bossangoa,27.71,1.0,2010s
CF,Bossembélé,26.04,1.15,2010s
CF,Bossemtele I,25.79,1.01,2010s
CF,Bouar,24.93,1.06,2010s
CF,Bouca,27.71,1.1,2010s
CF,Bozoum,26.34,0.96,2010s
CF,Bria,26.98,1.51,2010s
CF,Bégoua,27.19,1.4,2010s
CF,Carnot,26.05,1.3,2010s
CF,Damara,27.57,1.42,2010s
CF,Dekoa,27.26,1.2,2010s
CF,Gambo,26.77,1.93,2010s
CF,Gamboula,25.66,1.46,2010s
CF,Grimari,27.61,1.51,2010s
CF,Ippy,27.07,1.5,2010s
CF,Kabo,28.7,1.12,2010s
CF,Kaga-Bandoro,28.08,1.19,2010s
CF,Kembé,26.84,1.81,2010s
CF,Kouango,27.87,1.48,2010s
CF,Mbaïki,25.86,1.25,2010s
CF,Mbrés,27.14,1.24,2010s
CF,Mobaye,27.19,1.74,2010s
CF,Mongoumba,26.61,1.33,2010s
CF,Ndélé,28.08,1.37,2010s
CF,Nola,25.44,1.36,2010s
CF,Obo,27.08,1.95,2010s
CF,Ouadda,26.41,1.34,2010s
CF,Ouango,26.54,1.81,2010s
CF,Paoua,27.45,0.86,2010s
CF,Sibut,27.62,1.33,2010s
CF,Yaloké,25.84,1.16,2010s
CF,Zemio,26.96,2.11,2010s
CG,Abala,24.09,0.77,2010s
CG,Baratier,24.98,0.74,2010s
CG,Boko,25.99,1.29,2010s
CG,Bouansa,25.36,0.73,2010s
CG,Boundji,25.68,1.11,2010s
CG,Brazzaville,25.69,0.86,2010s
CG,Bétou,26.42,1.36,2010s
CG,Divenié,24.49,0.83,2010s
CG,Djambala,23.66,0.78,2010s
CG,Dolisie,24.06,0.81,2010s
CG,Dongou,26.27,1.37,2010s
CG,Enyellé,26.08,1.32,2010s
CG,Epéna,26.07,1.36,2010s
CG,Etoumbi,25.4,1.21,2010s
CG,Ewo,25.21,1.08,2010s
CG,Gamboma,25.95,1.17,2010s
CG,Hinda,24.91,0.86,2010s
CG,Impfondo,26.58,1.51,2010s
CG,Kayes,25.59,0.75,2010s
CG,Kellé,25.15,1.17,2010s
CG,Kibangou,24.42,0.85,2010s
CG,Kimongo,23.99,0.82,2010s
CG,Kindamba,24.6,0.68,2010s
CG,Kinkala,24.63,0.73,2010s
CG,Komono,24.09,0.76,2010s
CG,Loandjili,25.18,0.92,2010s
CG,Loango,25.22,0.88,2010s
CG,Loudima,25.51,0.73,2010s
CG,Loukoléla,26.58,1.25,2010s
CG,Loutété,24.94,0.71,2010s
CG,Lékana,23.66,0.86,2010s
CG,Mabombo,24.82,0.74,2010s
CG,Madingou,25.4,0.76,2010s
CG,Makabana,25.46,0.83,2010s
CG,Makoua,25.97,1.33,2010s
CG,Mbinda,23.33,0.88,2010s
CG,Mindouli,26.43,1.35,2010s
CG,Mokéko,25.64,1.51,2010s
CG,Mossaka,26.72,1.31,2010s
CG,Mossendjo,23.96,0.81,2010s
CG,Mouyondzi,24.8,0.72,2010s
CG,Mvouti,23.85,0.89,2010s
CG,Ngabé,25.91,1.03,2010s
CG,Ngo,24.59,0.99,2010s
CG,Nkayi,25.61,0.75,2010s
CG,Nzassi,25.2,0.99,2010s
CG,Olombo,26.14,1.21,2010s
CG,Ouésso,25.94,1.51,2010s
CG,Owando,26.0,1.28,2010s
CG,Oyo,26.26,1.25,2010s
CG,Pointe-Noire,25.18,0.94,2010s
CG,Pokola,25.96,1.49,2010s
CG,Sibiti,24.06,0.73,2010s
CG,Souanké,24.52,1.3,2010s
CG,Sémbé,25.03,1.43,2010s
CG,Tchikapika,26.32,1.26,2010s
CG,Zanaga,23.83,0.75,2010s
CI,ADK (Complexe,26.04,1.02,2010s
CI,Abadjin-Doumé,26.23,0.82,2010s
CI,Abadjin-Kouté,26.19,0.83,2010s
